ID,Strain
mouse:993,DBA/2J
mouse:994,SJL/J
mouse:995,BALB/cByJ
mouse:996,BALB/cByJ
mouse:997,BALB/cByJ
mouse:998,BALB/cByJ
mouse:999,BALB/cByJ
mouse:1000,C57L/J
mouse:1001,C57L/J
mouse:1002,C57L/J
mouse:1003,C57L/J
mouse:1004,C57L/J
mouse:1005,C57L/J
mouse:1006,C57L/J
mouse:1007,C57L/J
mouse:1008,C57L/J
mouse:1009,C57L/J
mouse:1010,C57L/J
mouse:1011,C57L/J
mouse:1012,C57L/J
mouse:1013,C57L/J
mouse:1014,CAST/EiJ
mouse:1015,C57L/J
mouse:1016,C57L/J
mouse:1017,LP/J
mouse:1018,C57L/J
mouse:1019,C57L/J
mouse:1020,C57L/J
mouse:1021,C57L/J
mouse:1022,C57L/J
mouse:1023,C57L/J
mouse:1024,C57L/J
mouse:1025,C57L/J
mouse:1026,C57L/J
mouse:1027,C57L/J
mouse:1028,C57L/J
mouse:1029,C57L/J
mouse:1030,C57L/J
mouse:1031,BTBR T<+> tf/J
mouse:1032,BTBR T<+> tf/J
mouse:1033,BTBR T<+> tf/J
mouse:1034,WSB/EiJ
mouse:1035,WSB/EiJ
mouse:1036,WSB/EiJ
mouse:1037,WSB/EiJ
mouse:1038,WSB/EiJ
mouse:1039,WSB/EiJ
mouse:1040,WSB/EiJ
mouse:1041,BTBR T<+> tf/J
mouse:1042,BTBR T<+> tf/J
mouse:1043,BTBR T<+> tf/J
mouse:1044,CBA/J
mouse:1045,CBA/J
mouse:1046,CBA/J
mouse:1047,CBA/J
mouse:1048,CBA/J
mouse:1049,CBA/J
mouse:1050,CBA/J
mouse:1051,CBA/J
mouse:1052,CBA/J
mouse:1053,WSB/EiJ
mouse:1054,CBA/J
mouse:1055,CBA/J
mouse:1056,FVB/NJ
mouse:1057,FVB/NJ
mouse:1058,FVB/NJ
mouse:1059,FVB/NJ
mouse:1060,FVB/NJ
mouse:1061,FVB/NJ
mouse:1062,FVB/NJ
mouse:1063,FVB/NJ
mouse:1064,FVB/NJ
mouse:1065,WSB/EiJ
mouse:1066,WSB/EiJ
mouse:1067,WSB/EiJ
mouse:1068,WSB/EiJ
mouse:1069,WSB/EiJ
mouse:1070,WSB/EiJ
mouse:1071,WSB/EiJ
mouse:1072,WSB/EiJ
mouse:1073,CBA/J
mouse:1074,CBA/J
mouse:1075,CBA/J
mouse:1076,CBA/J
mouse:1077,LP/J
mouse:1078,LP/J
mouse:1079,LP/J
mouse:1080,LP/J
mouse:1081,LP/J
mouse:1082,LP/J
mouse:1083,LP/J
mouse:1084,LP/J
mouse:1085,LP/J
mouse:1086,KK/HlJ
mouse:1087,KK/HlJ
mouse:1088,KK/HlJ
mouse:1089,KK/HlJ
mouse:1090,KK/HlJ
mouse:1091,P/J
mouse:1092,P/J
mouse:1093,P/J
mouse:1094,PL/J
mouse:1095,PL/J
mouse:1096,PL/J
mouse:1097,PL/J
mouse:1098,CBA/J
mouse:1099,CBA/J
mouse:1100,CBA/J
mouse:1101,CBA/J
mouse:1102,CBA/J
mouse:1103,CBA/J
mouse:1104,CBA/J
mouse:1105,CBA/J
mouse:1106,CBA/J
mouse:1107,C57BL/10J
mouse:1108,C57BL/10J
mouse:1109,C57BL/10J
mouse:1110,C57BL/10J
mouse:1111,C57BL/10J
mouse:1112,C57BL/10J
mouse:1113,C57BL/10J
mouse:1114,C57BL/10J
mouse:1115,C57BL/10J
mouse:1116,C57BL/10J
mouse:1117,P/J
mouse:1118,C57BL/6J
mouse:1119,C57BL/6J
mouse:1120,C57BL/6J
mouse:1121,C57BL/6J
mouse:1122,C57BL/6J
mouse:1123,C57BL/6J
mouse:1124,C57BL/6J
mouse:1125,C57BL/6J
mouse:1126,C57BL/6J
mouse:1127,C57BL/6J
mouse:1128,C3H/HeJ
mouse:1129,C3H/HeJ
mouse:1130,C3H/HeJ
mouse:1131,C3H/HeJ
mouse:1132,C3H/HeJ
mouse:1133,C3H/HeJ
mouse:1134,C3H/HeJ
mouse:1135,C3H/HeJ
mouse:1136,C3H/HeJ
mouse:1137,C3H/HeJ
mouse:1138,KK/HlJ
mouse:1139,KK/HlJ
mouse:1140,MRL/MpJ
mouse:1141,MRL/MpJ
mouse:1142,MRL/MpJ
mouse:1143,C3H/HeJ
mouse:1144,C3H/HeJ
mouse:1145,C3H/HeJ
mouse:1146,C3H/HeJ
mouse:1147,C3H/HeJ
mouse:1148,C3H/HeJ
mouse:1149,C57BL/6J
mouse:1150,C57BL/6J
mouse:1151,C57BL/6J
mouse:1152,C57BL/6J
mouse:1153,C57BL/6J
mouse:1154,NZO/H1LtJ
mouse:1155,NZO/H1LtJ
mouse:1156,C57BLKS/J
mouse:1157,C57BLKS/J
mouse:1158,C57BLKS/J
mouse:1159,C57BLKS/J
mouse:1160,C57BLKS/J
mouse:1161,C57BLKS/J
mouse:1162,C57BLKS/J
mouse:1163,C57BLKS/J
mouse:1164,C57BLKS/J
mouse:1165,C57BLKS/J
mouse:1166,C57BL/6J
mouse:1167,C57BL/6J
mouse:1168,C57BL/6J
mouse:1169,C57BL/6J
mouse:1170,C57BL/6J
mouse:1171,C57BL/6J
mouse:1172,C57BL/6J
mouse:1173,C57BL/6J
mouse:1174,C57BL/6J
mouse:1175,C57BLKS/J
mouse:1176,C57BLKS/J
mouse:1177,C57BLKS/J
mouse:1178,C57BLKS/J
mouse:1179,C57BLKS/J
mouse:1180,C57BLKS/J
mouse:1181,C57BLKS/J
mouse:1182,C57BLKS/J
mouse:1183,C57BLKS/J
mouse:1184,C57BLKS/J
mouse:1185,C57BLKS/J
mouse:1186,C57BLKS/J
mouse:1187,C57BLKS/J
mouse:1188,LP/J
mouse:1189,LP/J
mouse:1190,LP/J
mouse:1191,LP/J
mouse:1192,LP/J
mouse:1193,NZO/H1LtJ
mouse:1194,NZO/H1LtJ
mouse:1195,C57BR/cdJ
mouse:1196,C57BR/cdJ
mouse:1197,C57BR/cdJ
mouse:1198,C57BR/cdJ
mouse:1199,C57BR/cdJ
mouse:1200,C57BR/cdJ
mouse:1201,DBA/2J
mouse:1202,DBA/2J
mouse:1203,DBA/2J
mouse:1204,DBA/2J
mouse:1205,NON/ShiLtJ
mouse:1206,NON/ShiLtJ
mouse:1207,C57BR/cdJ
mouse:1208,C57BR/cdJ
mouse:1209,C57BR/cdJ
mouse:1210,C57BR/cdJ
mouse:1211,C57BR/cdJ
mouse:1212,C57BR/cdJ
mouse:1213,C57BR/cdJ
mouse:1214,C57BR/cdJ
mouse:1215,C57BR/cdJ
mouse:1216,C57BR/cdJ
mouse:1217,C57BR/cdJ
mouse:1218,C57BR/cdJ
mouse:1219,C57BR/cdJ
mouse:1220,C57BR/cdJ
mouse:1221,C57BR/cdJ
mouse:1222,DBA/2J
mouse:1223,DBA/2J
mouse:1224,DBA/2J
mouse:1225,DBA/2J
mouse:1226,DBA/2J
mouse:1227,DBA/2J
mouse:1228,DBA/2J
mouse:1229,NON/ShiLtJ
mouse:1230,NON/ShiLtJ
mouse:1231,NON/ShiLtJ
mouse:1232,NON/ShiLtJ
mouse:1233,NON/ShiLtJ
mouse:1234,NON/ShiLtJ
mouse:1235,NON/ShiLtJ
mouse:1236,NON/ShiLtJ
mouse:1237,NON/ShiLtJ
mouse:1238,NON/ShiLtJ
mouse:1239,NON/ShiLtJ
mouse:1240,NON/ShiLtJ
mouse:1241,NON/ShiLtJ
mouse:1242,NZW/LacJ
mouse:1243,NZW/LacJ
mouse:1244,NZW/LacJ
mouse:1245,NZW/LacJ
mouse:1246,NZW/LacJ
mouse:1247,NZW/LacJ
mouse:1248,NZW/LacJ
mouse:1249,NZW/LacJ
mouse:1250,NZW/LacJ
mouse:1251,NZW/LacJ
mouse:1252,NZW/LacJ
mouse:1253,NZW/LacJ
mouse:1254,NZW/LacJ
mouse:1255,NZW/LacJ
mouse:1256,NZW/LacJ
mouse:1257,NZW/LacJ
mouse:1258,NZW/LacJ
mouse:1259,NZW/LacJ
mouse:1260,WSB/EiJ
mouse:1261,WSB/EiJ
mouse:1262,WSB/EiJ
mouse:1263,PL/J
mouse:1264,PL/J
mouse:1265,SM/J
mouse:1266,SM/J
mouse:1267,SM/J
mouse:1268,SM/J
mouse:1269,SM/J
mouse:1270,SM/J
mouse:1271,SM/J
mouse:1272,SM/J
mouse:1273,SM/J
mouse:1274,SM/J
mouse:1275,SM/J
mouse:1276,SM/J
mouse:1277,SM/J
mouse:1278,WSB/EiJ
mouse:1279,WSB/EiJ
mouse:1280,WSB/EiJ
mouse:1281,PL/J
mouse:1282,SM/J
mouse:1283,SM/J
mouse:1284,SM/J
mouse:1285,SM/J
mouse:1286,SM/J
mouse:1287,SM/J
mouse:1288,SM/J
mouse:1289,SM/J
mouse:1290,SM/J
mouse:1291,SM/J
mouse:1292,SM/J
mouse:1293,RIIIS/J
mouse:1294,RIIIS/J
mouse:1295,RIIIS/J
mouse:1296,RIIIS/J
mouse:1297,RIIIS/J
mouse:1298,RIIIS/J
mouse:1299,RIIIS/J
mouse:1300,RIIIS/J
mouse:1301,RIIIS/J
mouse:1302,C3H/HeJ
mouse:1303,BTBR T<+> tf/J
mouse:1304,BTBR T<+> tf/J
mouse:1305,FVB/NJ
mouse:1306,FVB/NJ
mouse:1307,FVB/NJ
mouse:1308,BUB/BnJ
mouse:1309,PWD/PhJ
mouse:1310,PWD/PhJ
mouse:1311,PWD/PhJ
mouse:1312,PWD/PhJ
mouse:1313,PWD/PhJ
mouse:1314,PWD/PhJ
mouse:1315,PWD/PhJ
mouse:1316,FVB/NJ
mouse:1317,C57BL/10J
mouse:1318,C57BL/10J
mouse:1319,C57BL/10J
mouse:1320,C57BL/10J
mouse:1321,C57BL/10J
mouse:1322,C57BL/10J
mouse:1323,C57BL/10J
mouse:1324,C57BL/10J
mouse:1325,C57BL/10J
mouse:1326,C57BL/10J
mouse:1327,C57BL/10J
mouse:1328,C57BL/10J
mouse:1329,C57BL/10J
mouse:1330,C57BL/10J
mouse:1331,C57BL/10J
mouse:1332,C57BL/10J
mouse:1333,BTBR T<+> tf/J
mouse:1334,BTBR T<+> tf/J
mouse:1335,BTBR T<+> tf/J
mouse:1336,BTBR T<+> tf/J
mouse:1337,BUB/BnJ
mouse:1338,BUB/BnJ
mouse:1339,BUB/BnJ
mouse:1340,BUB/BnJ
mouse:1341,BUB/BnJ
mouse:1342,BUB/BnJ
mouse:1343,BUB/BnJ
mouse:1344,BUB/BnJ
mouse:1345,BUB/BnJ
mouse:1346,P/J
mouse:1347,P/J
mouse:1348,P/J
mouse:1349,C3H/HeJ
mouse:1350,NON/ShiLtJ
mouse:1351,NON/ShiLtJ
mouse:1352,NON/ShiLtJ
mouse:1353,NON/ShiLtJ
mouse:1354,NZO/H1LtJ
mouse:1355,NZO/H1LtJ
mouse:1356,NZO/H1LtJ
mouse:1357,P/J
mouse:1358,P/J
mouse:1359,RIIIS/J
mouse:1360,P/J
mouse:1361,P/J
mouse:1362,NON/ShiLtJ
mouse:1363,LP/J
mouse:1364,LP/J
mouse:1365,LP/J
mouse:1366,LP/J
mouse:1367,C57BLKS/J
mouse:1368,LP/J
mouse:1369,LP/J
mouse:1370,C57BL/6J
mouse:1371,LP/J
mouse:1372,LP/J
mouse:1373,LP/J
mouse:1374,MRL/MpJ
mouse:1375,LP/J
mouse:1376,C57BLKS/J
mouse:1377,C57BLKS/J
mouse:1378,NZO/H1LtJ
mouse:1379,NZO/H1LtJ
mouse:1380,FVB/NJ
mouse:1381,NZO/H1LtJ
mouse:1382,NZO/H1LtJ
mouse:1383,C57BL/6J
mouse:1384,C57BL/6J
mouse:1385,C57BL/6J
mouse:1386,C57BL/6J
mouse:1387,AKR/J
mouse:1388,C57BL/6J
mouse:1389,MRL/MpJ
mouse:1390,C57BR/cdJ
mouse:1391,C57BLKS/J
mouse:1392,P/J
mouse:1393,P/J
mouse:1394,P/J
mouse:1395,P/J
mouse:1396,129S1/SvImJ
mouse:1397,129S1/SvImJ
mouse:1398,SWR/J
mouse:1399,129S1/SvImJ
mouse:1400,129S1/SvImJ
mouse:1401,129S1/SvImJ
mouse:1402,129S1/SvImJ
mouse:1403,129S1/SvImJ
mouse:1404,129S1/SvImJ
mouse:1405,129S1/SvImJ
mouse:1406,129S1/SvImJ
mouse:1407,LP/J
mouse:1408,SM/J
mouse:1409,SJL/J
mouse:1410,129S1/SvImJ
mouse:1411,129S1/SvImJ
mouse:1412,BALB/cByJ
mouse:1413,C3H/HeJ
mouse:1414,NZW/LacJ
mouse:1415,C3H/HeJ
mouse:1416,DBA/2J
mouse:1417,DBA/2J
mouse:1418,MRL/MpJ
mouse:1419,RIIIS/J
mouse:1420,RIIIS/J
mouse:1421,RIIIS/J
mouse:1422,RIIIS/J
mouse:1423,RIIIS/J
mouse:1424,C57BR/cdJ
mouse:1425,RIIIS/J
mouse:1426,MRL/MpJ
mouse:1427,RIIIS/J
mouse:1428,129S1/SvImJ
mouse:1429,129S1/SvImJ
mouse:1430,129S1/SvImJ
mouse:1431,C3H/HeJ
mouse:1432,129S1/SvImJ
mouse:1433,129S1/SvImJ
mouse:1434,129S1/SvImJ
mouse:1435,RIIIS/J
mouse:1436,RIIIS/J
mouse:1437,RIIIS/J
mouse:1438,A/J
mouse:1439,RIIIS/J
mouse:1440,C3H/HeJ
mouse:1441,PWD/PhJ
mouse:1442,DBA/2J
mouse:1443,PWD/PhJ
mouse:1444,FVB/NJ
mouse:1445,PWD/PhJ
mouse:1446,PWD/PhJ
mouse:1447,MRL/MpJ
mouse:1448,PWD/PhJ
mouse:1449,PWD/PhJ
mouse:1450,PWD/PhJ
mouse:1451,PWD/PhJ
mouse:1452,129S1/SvImJ
mouse:1453,129S1/SvImJ
mouse:1454,129S1/SvImJ
mouse:1455,RIIIS/J
mouse:1456,NON/ShiLtJ
mouse:1457,NON/ShiLtJ
mouse:1458,C57BR/cdJ
mouse:1459,MRL/MpJ
mouse:1460,A/J
mouse:1461,BALB/cByJ
mouse:1462,C57L/J
mouse:1463,NZO/H1LtJ
mouse:1464,BTBR T<+> tf/J
mouse:1465,PWD/PhJ
mouse:1466,LP/J
mouse:1467,LP/J
mouse:1468,MRL/MpJ
mouse:1469,KK/HlJ
mouse:1470,NOD.B10Sn-H2<b>/J
mouse:1471,CAST/EiJ
mouse:1472,NZO/H1LtJ
mouse:1473,LP/J
mouse:1474,CBA/J
mouse:1475,CBA/J
mouse:1476,CBA/J
mouse:1477,PWD/PhJ
mouse:1478,LP/J
mouse:1479,C57BL/6J
mouse:1480,RIIIS/J
mouse:1481,C57BLKS/J
mouse:1482,DBA/2J
mouse:1483,BALB/cByJ
mouse:1484,NON/ShiLtJ
mouse:1485,C57BR/cdJ
mouse:1486,A/J
mouse:1487,A/J
mouse:1488,A/J
mouse:1489,A/J
mouse:1490,A/J
mouse:1491,A/J
mouse:1492,A/J
mouse:1493,A/J
mouse:1494,RIIIS/J
mouse:1495,SM/J
mouse:1496,FVB/NJ
mouse:1497,BALB/cByJ
mouse:1498,BALB/cByJ
mouse:1499,C57BLKS/J
mouse:1500,PWD/PhJ
mouse:1501,PWD/PhJ
mouse:1502,SJL/J
mouse:1503,C57BLKS/J
mouse:1504,C57BL/10J
mouse:1505,CAST/EiJ
mouse:1506,C57BLKS/J
mouse:1507,MRL/MpJ
mouse:1508,CBA/J
mouse:1509,C57BLKS/J
mouse:1510,C57BLKS/J
mouse:1511,C57BLKS/J
mouse:1512,RIIIS/J
mouse:1513,SJL/J
mouse:1514,CBA/J
mouse:1515,RIIIS/J
mouse:1516,CBA/J
mouse:1517,RIIIS/J
mouse:1518,SJL/J
mouse:1519,NOD.B10Sn-H2<b>/J
mouse:1520,AKR/J
mouse:1521,C57BL/6J
mouse:1522,129S1/SvImJ
mouse:1523,129S1/SvImJ
mouse:1524,PWD/PhJ
mouse:1525,NON/ShiLtJ
mouse:1526,C3H/HeJ
mouse:1527,BTBR T<+> tf/J
mouse:1528,RIIIS/J
mouse:1529,DBA/2J
mouse:1530,C3H/HeJ
mouse:1531,MRL/MpJ
mouse:1532,DBA/2J
mouse:1533,PWD/PhJ
mouse:1534,SJL/J
mouse:1535,C57BLKS/J
mouse:1536,MRL/MpJ
mouse:1537,KK/HlJ
mouse:1538,C57BL/10J
mouse:1539,NON/ShiLtJ
mouse:1540,C57BR/cdJ
mouse:1541,NOD.B10Sn-H2<b>/J
mouse:1542,A/J
mouse:1543,C57BL/10J
mouse:1544,C57BL/6J
mouse:1545,NON/ShiLtJ
mouse:1546,C3H/HeJ
mouse:1547,C57BLKS/J
mouse:1548,FVB/NJ
mouse:1549,FVB/NJ
mouse:1550,FVB/NJ
mouse:1551,C57BLKS/J
mouse:1552,129S1/SvImJ
mouse:1553,NZW/LacJ
mouse:1554,A/J
mouse:1555,A/J
mouse:1556,A/J
mouse:1557,A/J
mouse:1558,A/J
mouse:1559,A/J
mouse:1560,A/J
mouse:1561,A/J
mouse:1562,A/J
mouse:1563,A/J
mouse:1564,SJL/J
mouse:1565,SJL/J
mouse:1566,SJL/J
mouse:1567,SJL/J
mouse:1568,SJL/J
mouse:1569,SJL/J
mouse:1570,C57BLKS/J
mouse:1571,129S1/SvImJ
mouse:1572,NON/ShiLtJ
mouse:1573,BALB/cByJ
mouse:1574,CBA/J
mouse:1575,FVB/NJ
mouse:1576,129S1/SvImJ
mouse:1577,NON/ShiLtJ
mouse:1578,MRL/MpJ
mouse:1579,C57BL/6J
mouse:1580,C57BL/10J
mouse:1581,BTBR T<+> tf/J
mouse:1582,SJL/J
mouse:1583,SJL/J
mouse:1584,SJL/J
mouse:1585,SJL/J
mouse:1586,SJL/J
mouse:1587,SJL/J
mouse:1588,SJL/J
mouse:1589,SJL/J
mouse:1590,BALB/cByJ
mouse:1591,BALB/cByJ
mouse:1592,BALB/cByJ
mouse:1593,BALB/cByJ
mouse:1594,BALB/cByJ
mouse:1595,BALB/cByJ
mouse:1596,BALB/cByJ
mouse:1597,BALB/cByJ
mouse:1598,BALB/cByJ
mouse:1599,BALB/cByJ
mouse:1600,C57BLKS/J
mouse:1601,WSB/EiJ
mouse:1602,C57BL/6J
mouse:1603,C57BL/6J
mouse:1604,C57BL/6J
mouse:1605,C57BL/6J
mouse:1606,MRL/MpJ
mouse:1607,MRL/MpJ
mouse:1608,BUB/BnJ
mouse:1609,C57BLKS/J
mouse:1610,C57BLKS/J
mouse:1611,AKR/J
mouse:1612,AKR/J
mouse:1613,AKR/J
mouse:1614,C3H/HeJ
mouse:1615,AKR/J
mouse:1616,MRL/MpJ
mouse:1617,C57BL/6J
mouse:1618,AKR/J
mouse:1619,AKR/J
mouse:1620,AKR/J
mouse:1621,AKR/J
mouse:1622,AKR/J
mouse:1623,AKR/J
mouse:1624,CBA/J
mouse:1625,A/J
mouse:1626,KK/HlJ
mouse:1627,NON/ShiLtJ
mouse:1628,C57BL/10J
mouse:1629,PWD/PhJ
mouse:1630,PWD/PhJ
mouse:1631,MRL/MpJ
mouse:1632,PWD/PhJ
mouse:1633,PWD/PhJ
mouse:1634,C57BL/10J
mouse:1635,SM/J
mouse:1636,C57BL/6J
mouse:1637,PWD/PhJ
mouse:1638,C57BLKS/J
mouse:1639,SM/J
mouse:1640,C57BLKS/J
mouse:1641,129S1/SvImJ
mouse:1642,KK/HlJ
mouse:1643,KK/HlJ
mouse:1644,KK/HlJ
mouse:1645,KK/HlJ
mouse:1646,KK/HlJ
mouse:1647,KK/HlJ
mouse:1648,KK/HlJ
mouse:1649,KK/HlJ
mouse:1650,RIIIS/J
mouse:1651,MRL/MpJ
mouse:1652,129S1/SvImJ
mouse:1653,BALB/cByJ
mouse:1654,NZW/LacJ
mouse:1655,SWR/J
mouse:1656,KK/HlJ
mouse:1657,KK/HlJ
mouse:1658,KK/HlJ
mouse:1659,KK/HlJ
mouse:1660,KK/HlJ
mouse:1661,KK/HlJ
mouse:1662,KK/HlJ
mouse:1663,KK/HlJ
mouse:1664,KK/HlJ
mouse:1665,129S1/SvImJ
mouse:1666,129S1/SvImJ
mouse:1667,129S1/SvImJ
mouse:1668,KK/HlJ
mouse:1669,NON/ShiLtJ
mouse:1670,KK/HlJ
mouse:1671,NOD.B10Sn-H2<b>/J
mouse:1672,NOD.B10Sn-H2<b>/J
mouse:1673,MRL/MpJ
mouse:1674,C57BL/6J
mouse:1675,BALB/cByJ
mouse:1676,MRL/MpJ
mouse:1677,P/J
mouse:1678,MRL/MpJ
mouse:1679,FVB/NJ
mouse:1680,SJL/J
mouse:1681,SJL/J
mouse:1682,SJL/J
mouse:1683,SJL/J
mouse:1684,BALB/cByJ
mouse:1685,BALB/cByJ
mouse:1686,BALB/cByJ
mouse:1687,BALB/cByJ
mouse:1688,BALB/cByJ
mouse:1689,BALB/cByJ
mouse:1690,BALB/cByJ
mouse:1691,BALB/cByJ
mouse:1692,BALB/cByJ
mouse:1693,BALB/cByJ
mouse:1694,C3H/HeJ
mouse:1695,NON/ShiLtJ
mouse:1696,C57BLKS/J
mouse:1697,CAST/EiJ
mouse:1698,C57BLKS/J
mouse:1699,CAST/EiJ
mouse:1700,A/J
mouse:1701,C57BR/cdJ
mouse:1702,NOD.B10Sn-H2<b>/J
mouse:1703,NOD.B10Sn-H2<b>/J
mouse:1704,NOD.B10Sn-H2<b>/J
mouse:1705,NOD.B10Sn-H2<b>/J
mouse:1706,BALB/cByJ
mouse:1707,BALB/cByJ
mouse:1708,C57BR/cdJ
mouse:1709,C57BR/cdJ
mouse:1710,SJL/J
mouse:1711,BALB/cByJ
mouse:1712,MRL/MpJ
mouse:1713,WSB/EiJ
mouse:1714,C57BLKS/J
mouse:1715,SJL/J
mouse:1716,MRL/MpJ
mouse:1717,A/J
mouse:1718,C57BL/10J
mouse:1719,C3H/HeJ
mouse:1720,NZW/LacJ
mouse:1721,KK/HlJ
mouse:1722,A/J
mouse:1723,C57BL/6J
mouse:1724,C57BL/6J
mouse:1725,SWR/J
mouse:1726,BTBR T<+> tf/J
mouse:1727,C57BL/10J
mouse:1728,SWR/J
mouse:1729,RIIIS/J
mouse:1730,BUB/BnJ
mouse:1731,MRL/MpJ
mouse:1732,RIIIS/J
mouse:1733,CBA/J
mouse:1734,CBA/J
mouse:1735,P/J
mouse:1736,KK/HlJ
mouse:1737,BUB/BnJ
mouse:1738,WSB/EiJ
mouse:1739,WSB/EiJ
mouse:1740,SWR/J
